id,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,geometry
myGeographyPortal.523,O1TEHR01,18.531667,49.735278,356.0,Těrlicko,"Těrlicko, Hradiště",MSS,POINT (18.531667 49.735278)
myGeographyPortal.524,O1TYRA01,18.6494,49.6258,500.0,Tyra,Tyra,MSS,POINT (18.6494 49.6258)
myGeographyPortal.526,O1VEKR01,17.179638,50.370798,235.0,Velká Kraš,Velká Kraš,MSS,POINT (17.179638 50.370798)
myGeographyPortal.527,O1VIDL01,17.2717,50.1056,774.0,Vidly,Vidly,MSS,POINT (17.2717 50.1056)
myGeographyPortal.532,O1ZLHR01,17.3926,50.263,407.0,Zlaté Hory,Zlaté Hory,MSS,POINT (17.3926 50.263)
myGeographyPortal.533,O2BEZD01,16.7567,49.7,315.0,Moravská Třebová,"Moravská Třebová, Bezděčí, Unerázka",MSS,POINT (16.7567 49.7)
myGeographyPortal.546,O2MIRO01,16.839447,49.796164,370.0,Mírov,"Mírov, Míroveček",MSS,POINT (16.839447 49.796164)
myGeographyPortal.547,O2OLKL01,17.264465,49.608795,215.0,Olomouc,"Olomouc, Klášterní Hradisko",MSS,POINT (17.264465 49.608795)
myGeographyPortal.552,O2SKLE01,16.8472,50.1278,730.0,Malá Morava,"Malá Morava, Sklené",MSS,POINT (16.8472 50.1278)
myGeographyPortal.554,O2STEP01,17.22473,49.68115,225.0,Štěpánov,Štěpánov,MSS,POINT (17.22473 49.68115)
myGeographyPortal.557,O2STKU01,16.9419,50.1928,658.0,Staré Město pod Sněžníkem,"Staré Město pod Sněžníkem, Kunčice",MSS,POINT (16.9419 50.1928)
myGeographyPortal.560,O2UJEZ01,17.482222,49.575556,358.0,Velký Újezd,Velký Újezd,MSS,POINT (17.482222 49.575556)
myGeographyPortal.562,O3BENE01,18.294392,49.397036,855.0,Velké Karlovice,"Velké Karlovice, Benešky",MSS,POINT (18.294392 49.397036)
myGeographyPortal.564,O3HRAN01,17.701389,49.5525,247.0,Hranice,"Hranice, Drahotuše",MSS,POINT (17.701389 49.5525)
myGeographyPortal.567,O3KELC01,17.8281,49.4731,300.0,Kelč,Kelč,MSS,POINT (17.8281 49.4731)
myGeographyPortal.568,O3LIDE01,18.052524,49.20948,450.0,Lidečko,Lidečko,MSS,POINT (18.052524 49.20948)
myGeographyPortal.569,O3LIPN01,17.590556,49.521944,227.0,Lipník nad Bečvou,Lipník nad Bečvou,MSS,POINT (17.590556 49.521944)
myGeographyPortal.572,O3POTS01,17.6764,49.6417,565.0,Potštát,"Potštát, Kyžlířov",MSS,POINT (17.6764 49.6417)
myGeographyPortal.575,O3RAJN01,17.8139,49.4111,405.0,Rajnochovice,Rajnochovice,MSS,POINT (17.8139 49.4111)
myGeographyPortal.577,O3ROZV01,18.112788,49.462778,362.0,Rožnov pod Radhoštěm,Rožnov pod Radhoštěm,MSS,POINT (18.112788 49.462778)
myGeographyPortal.583,O3ZDEC01,18.0772,49.2639,491.0,Zděchov,Zděchov,MSS,POINT (18.0772 49.2639)
myGeographyPortal.587,P1BERO01,14.0642,49.9711,265.0,Beroun,Beroun,MSS,POINT (14.0642 49.9711)
myGeographyPortal.588,P1CHRU01,14.1567,49.9964,255.0,Chrustenice,Loděnice,MSS,POINT (14.1567 49.9964)
myGeographyPortal.591,P1JILS01,14.3319,49.9233,354.0,Jíloviště,Jíloviště,MSS,POINT (14.3319 49.9233)
myGeographyPortal.593,P1KOLE01,14.2378,50.1989,240.0,Koleč,Koleč,MSS,POINT (14.2378 50.1989)
myGeographyPortal.595,P1KRIV01,13.8808,50.0381,323.0,Křivoklát,Křivoklát,MSS,POINT (13.8808 50.0381)
myGeographyPortal.597,P1LITE01,14.1506,49.9033,320.0,Liteň,Liteň,MSS,POINT (14.1506 49.9033)
myGeographyPortal.598,P1MNIS01,14.2625,49.8694,367.0,Mníšek pod Brdy,Mníšek pod Brdy,MSS,POINT (14.2625 49.8694)
myGeographyPortal.599,P1NBEL01,14.2017,49.7067,465.0,Nečín,"Nečín, Bělohrad",MSS,POINT (14.2017 49.7067)
