id,ID,X,Y,ELEMENT,ELEVATION,NAME,FNAME,geometry
myGeographyElementsPortal.273,C2POCA01,15.2342,49.2606,F,618.0,Počátky,Počátky,POINT (15.2342 49.2606)
myGeographyElementsPortal.274,P2TURN01,15.154444,50.589722,F,253.0,Turnov,Turnov,POINT (15.154444 50.589722)
myGeographyElementsPortal.275,P2MRZK01,14.8075,50.044444,F,260.0,Mrzky,Mrzky,POINT (14.8075 50.044444)
myGeographyElementsPortal.276,U2BEDR01,15.13708,50.81511,F,777.0,Bedřichov,Bedřichov,POINT (15.13708 50.81511)
myGeographyElementsPortal.277,H2ROKY01,16.460258,50.164432,F,577.0,Rokytnice v Orlic.horách,Rokytnice v Orlic.horách,POINT (16.460258 50.164432)
myGeographyElementsPortal.278,H2ROKY01,16.460258,50.164432,F,577.0,Rokytnice v Orlic.horách,Rokytnice v Orlic.horách,POINT (16.460258 50.164432)
myGeographyElementsPortal.279,B1PROS01,17.134722,49.4525,F,214.75,Prostějov,Prostějov,POINT (17.134722 49.4525)
myGeographyElementsPortal.280,B1PROS01,17.134722,49.4525,F,214.75,Prostějov,Prostějov,POINT (17.134722 49.4525)
myGeographyElementsPortal.281,B1PROS01,17.134722,49.4525,F,214.75,Prostějov,Prostějov,POINT (17.134722 49.4525)
myGeographyElementsPortal.282,P3NETV01,14.521178,49.818411,F,368.0,Netvořice,Netvořice,POINT (14.521178 49.818411)
myGeographyElementsPortal.283,P2KATU01,14.7778,50.4444,F,312.0,Katusice,Katusice,POINT (14.7778 50.4444)
myGeographyElementsPortal.284,O3KATE01,17.873333,49.401111,F,585.0,Kateřinice,"Kateřinice, Ojičná",POINT (17.873333 49.401111)
myGeographyElementsPortal.285,U1MILE01,13.93083,50.555,F,830.5,Milešovka,Milešovka,POINT (13.93083 50.555)
myGeographyElementsPortal.286,H2USTI01,16.422222,49.980278,F,401.7,Ústí nad Orlicí,Ústí nad Orlicí,POINT (16.422222 49.980278)
myGeographyElementsPortal.287,H2USTI01,16.422222,49.980278,F,401.7,Ústí nad Orlicí,Ústí nad Orlicí,POINT (16.422222 49.980278)
myGeographyElementsPortal.288,H2USTI01,16.422222,49.980278,F,401.7,Ústí nad Orlicí,Ústí nad Orlicí,POINT (16.422222 49.980278)
myGeographyElementsPortal.289,B1PROT01,16.83105,49.47782,F,675.0,Protivanov,Protivanov,POINT (16.83105 49.47782)
myGeographyElementsPortal.290,H1CSKL01,16.061111,50.363056,F,290.0,Česká Skalice,"Česká Skalice, Rozkoš",POINT (16.061111 50.363056)
myGeographyElementsPortal.291,P3VLAS01,14.894722,49.691944,F,415.0,Vlašim,Vlašim,POINT (14.894722 49.691944)
myGeographyElementsPortal.292,P1PRIB01,14.0225,49.6947,F,555.0,Příbram,Příbram,POINT (14.0225 49.6947)
myGeographyElementsPortal.293,H3NBYD01,15.497443,50.237553,F,232.0,Nový Bydžov,Nový Bydžov,POINT (15.497443 50.237553)
myGeographyElementsPortal.294,H3PARD01,15.740273,50.016111,F,224.21,Pardubice,"Pardubice, letiště",POINT (15.740273 50.016111)
myGeographyElementsPortal.295,H3PODE01,15.133554,50.140503,F,189.0,Poděbrady,Poděbrady,POINT (15.133554 50.140503)
myGeographyElementsPortal.296,H3RADO01,15.368164,50.106526,F,227.0,Radovesnice II.,Radovesnice II.,POINT (15.368164 50.106526)
myGeographyElementsPortal.297,H3SECA01,15.6479,49.844725,F,529.0,Seč,Seč,POINT (15.6479 49.844725)
myGeographyElementsPortal.298,H3SVOD01,15.787769,50.222602,F,240.0,Hradec Králové,"Hradec Králové, Svobodné Dvory",POINT (15.787769 50.222602)
myGeographyElementsPortal.299,H3SVRA01,16.034167,49.735,F,734.0,Svratouch,Svratouch,POINT (16.034167 49.735)
myGeographyElementsPortal.300,H3ZBYS01,15.329835,49.78686,F,490.0,Zbýšov,"Zbýšov, Dobrovítov",POINT (15.329835 49.78686)
myGeographyElementsPortal.301,L1HOJS01,13.197146,49.212473,F,866.0,Železná Ruda,"Železná Ruda, Hojsova Stráž",POINT (13.197146 49.212473)
myGeographyElementsPortal.302,H3LBEL01,15.588567,50.427437,F,299.0,Lázně Bělohrad,Lázně Bělohrad,POINT (15.588567 50.427437)
myGeographyElementsPortal.303,H3LBEL01,15.588567,50.427437,F,299.0,Lázně Bělohrad,Lázně Bělohrad,POINT (15.588567 50.427437)
myGeographyElementsPortal.304,L2DYLE01,12.502849,49.968079,F,939.0,Dyleň,Dyleň,POINT (12.502849 49.968079)
myGeographyElementsPortal.305,P2CDUB01,14.9817,50.6836,F,355.0,Český Dub,"Český Dub, Modlibohov",POINT (14.9817 50.6836)
myGeographyElementsPortal.306,P1KRAL01,14.29,50.2419,F,220.0,Kralupy nad Vltavou,Kralupy nad Vltavou,POINT (14.29 50.2419)
myGeographyElementsPortal.307,P1DOBE01,14.2758,49.9333,F,205.0,Dobřichovice,Dobřichovice,POINT (14.2758 49.9333)
myGeographyElementsPortal.308,L1PLMI01,13.378889,49.764722,F,359.8,Plzeň,"Plzeň, Mikulka",POINT (13.378889 49.764722)
myGeographyElementsPortal.309,H3RADO01,15.368164,50.106526,F,227.0,Radovesnice II.,Radovesnice II.,POINT (15.368164 50.106526)
myGeographyElementsPortal.310,O3BECV01,18.2983,49.4311,F,565.0,Horní Bečva,Horní Bečva,POINT (18.2983 49.4311)
myGeographyElementsPortal.311,P1PRUH01,14.5594,50.0075,F,312.0,Průhonice,Průhonice,POINT (14.5594 50.0075)
myGeographyElementsPortal.312,C2VBRO01,14.3144,48.6175,F,559.0,Vyšší Brod,Vyšší Brod,POINT (14.3144 48.6175)
myGeographyElementsPortal.313,P2SEMC01,15.0036,50.3671,F,234.0,Semčice,Semčice,POINT (15.0036 50.3671)
myGeographyElementsPortal.314,B1HOLE01,17.57,49.320556,F,222.25,Holešov,Holešov,POINT (17.57 49.320556)
myGeographyElementsPortal.315,C1CHUR01,13.615278,49.068333,F,1117.8,Churáňov,Churáňov,POINT (13.615278 49.068333)
myGeographyElementsPortal.316,H2POLO01,16.322222,50.350278,F,747.24,Polom,"Polom, Sedloňov",POINT (16.322222 50.350278)
myGeographyElementsPortal.317,O1LYSA01,18.4475,49.546111,F,1322.03,Lysá hora,Lysá hora,POINT (18.4475 49.546111)
myGeographyElementsPortal.318,C1VRAZ01,14.1289,49.3844,F,433.0,Vráž,Vráž,POINT (14.1289 49.3844)
myGeographyElementsPortal.319,C2BYNO01,14.799947,48.816603,F,475.0,Byňov,Byňov,POINT (14.799947 48.816603)
myGeographyElementsPortal.320,P1NEUM01,14.0375,49.8542,F,322.0,Neumětely,Neumětely,POINT (14.0375 49.8542)
myGeographyElementsPortal.321,L3KVAL01,12.914167,50.201667,F,603.0,Karlovy Vary,"Karlovy Vary, Olšová Vrata",POINT (12.914167 50.201667)
myGeographyElementsPortal.322,L1PLMI01,13.378889,49.764722,F,359.8,Plzeň,"Plzeň, Mikulka",POINT (13.378889 49.764722)
myGeographyElementsPortal.323,P3STAN01,15.0678,49.9028,F,415.0,Vavřinec,"Vavřinec, Žíšov",POINT (15.0678 49.9028)
myGeographyElementsPortal.324,H3SVOD01,15.787769,50.222602,F,240.0,Hradec Králové,"Hradec Králové, Svobodné Dvory",POINT (15.787769 50.222602)
myGeographyElementsPortal.325,C2NADV01,14.4653,49.5169,F,616.0,Nadějkov,"Nadějkov, Větrov",POINT (14.4653 49.5169)
myGeographyElementsPortal.326,P3ONDR01,14.7847,49.9072,F,485.0,Ondřejov,Ondřejov,POINT (14.7847 49.9072)
myGeographyElementsPortal.327,P3NRYC01,15.365,49.3858,F,624.0,Nový Rychnov,Nový Rychnov,POINT (15.365 49.3858)
myGeographyElementsPortal.328,H3PODE01,15.133554,50.140503,F,189.0,Poděbrady,Poděbrady,POINT (15.133554 50.140503)
myGeographyElementsPortal.329,U1KATU01,13.32806,50.37667,F,322.4,Tušimice,Tušimice,POINT (13.32806 50.37667)
myGeographyElementsPortal.330,L2PRIM01,12.678056,49.669444,F,742.76,Přimda,Přimda,POINT (12.678056 49.669444)
myGeographyElementsPortal.331,B1BYSH01,17.6706,49.3964,F,314.0,Bystřice pod Hostýnem,Bystřice pod Hostýnem,POINT (17.6706 49.3964)
myGeographyElementsPortal.332,P1PRUZ01,14.255556,50.100278,F,364.0,Praha,"Praha, Ruzyně",POINT (14.255556 50.100278)
myGeographyElementsPortal.333,C2CKRU01,14.33935,48.832242,F,554.0,Český Krumlov,"Český Krumlov, Přísečná",POINT (14.33935 48.832242)
myGeographyElementsPortal.334,B2DUKO01,16.134444,49.095556,F,400.15,Dukovany,Dukovany,POINT (16.134444 49.095556)
myGeographyElementsPortal.335,C2TABO01,14.70324,49.40527,F,467.0,Tábor,"Tábor, Měšice",POINT (14.70324 49.40527)
myGeographyElementsPortal.336,P1LANY01,13.9519,50.1242,F,415.0,Lány,Lány,POINT (13.9519 50.1242)
myGeographyElementsPortal.337,U1NOVE01,13.48561,50.59244,F,725.0,Nová Ves v Horách,Nová Ves v Horách,POINT (13.48561 50.59244)
myGeographyElementsPortal.338,U2VARN01,14.60222,50.90556,F,367.0,Varnsdorf,Varnsdorf,POINT (14.60222 50.90556)
myGeographyElementsPortal.339,U2LIBC01,15.02389,50.76972,F,397.72,Liberec,Liberec,POINT (15.02389 50.76972)
myGeographyElementsPortal.340,C2CBUD01,14.469722,48.951944,F,394.6,České Budějovice,"České Budějovice,Rožnov",POINT (14.469722 48.951944)
myGeographyElementsPortal.341,O1MOSN01,18.112778,49.691944,F,252.8,Mošnov,Mošnov,POINT (18.112778 49.691944)
myGeographyElementsPortal.342,L3CHEB01,12.391389,50.068333,F,483.0,Cheb,Cheb,POINT (12.391389 50.068333)
